id,user_screen,original_author,user_id,favorite_count,retweet_count,user_following,user_followers,user_friends,user_statuses,tweet_text
782631565134299000,DeanTammy,CraigRozniecki,451882513,0,19,FALSE,999,1542,18495,"RT @CraigRozniecki: ""Reporter Opens Up About Donald Trump Calling Her The 'C' Word"" - https://t.co/VOZroSqCUK"
782631563091513000,betdonald,seanchai13,105265176,0,1,FALSE,1352,1353,18138,"RT @seanchai13: ""Rudy Giuliani"" is a textbook definition of ""incoherence"" - ramblings of another #Trump #surrogate with confusing pivots anâ€¦"
782631563380994000,TTALLEY1043,Null,752993338752578000,1,0,FALSE,444,871,27786,Debbie has 47 following but thinks she has answers for everything. Silly twit! https://t.co/OKFAFLWFkk
782631565117493000,rmb521,Bros4America,407737548,0,144,FALSE,258,1177,13737,"RT @Bros4Hillary: Chicago Sun Times endorsed Hillary Clinton as logical choice for President, not a train wreck like Donald Trump. #ImWithHâ€¦"
782631566237315000,eviloliveguy,dcexaminer,3048311150,0,30,FALSE,48,204,18892,"RT @dcexaminer: Sanders: ""Of course"" leaked Clinton audio bothers me https://t.co/fdxI8Ey5eh https://t.co/UIDO5lBxvK"
782631562311377000,chapel3929,Krakadoom,923655126,0,1,FALSE,2951,1847,123442,"RT @Krakadoom: Clinton's polling well in Detroit due to her Robocop on every corner initiative, whereas Trump's ED-209 proposal's been metâ€¦"
782631564568097000,PierParty,albamonica,774974118,0,42,FALSE,3512,4903,115652,"RT @albamonica: After quoting her, Hillary Clinton invited 9-year-old Zianna Oliphant to join her at the pulpit in Charlotte, NC https://t.â€¦"
782631561904595000,MLAS,LegInsurrection,18204604,0,21,FALSE,4550,4103,486570,RT @LegInsurrection: Ohio U. President Freaks Out When Students Put Pro-Trump Message on Free Speech Wall https://t.co/RIvTnl96zl
782631563443835000,PMLNCALIFORNIA,CNN,1421604126,0,3227,FALSE,1288,357,11216,"RT @CNN: Bernie Sanders on NY Times Trump tax report: ""This is exactly why so many Americans are frustrated"" #CNNSOTU https://t.co/rcNWub4Lâ€¦"
782631561422332000,nuels_foodzone,WhatsTrending,773616558384018000,0,3,FALSE,554,562,1485,RT @WhatsTrending: how most people feel about the 2016 election https://t.co/rg84nk7X3p
